"id","n_reasons","mrl","assigned_cluster","avg_cosine_to_assigned","second_best_cluster","second_best_avg_cosine","margin"
"LA963yf",5,0.63273726314214,9,0.473514582595109,4,0.459761244107149,0.0137533384879599
"LB035hp",5,0.656202403904642,6,0.497028602572403,9,0.493772606571698,0.0032559960007052
"LX380kr",4,0.709163273627044,9,0.606103686537336,7,0.551653941510626,0.0544497450267094
"MA423or",8,0.608186398812828,4,0.488373576154597,8,0.466250075863237,0.02212350029136
"MA816im",2,0.872536991769841,4,0.575415994487716,2,0.441580146740283,0.133835847747433
"MK233tu",4,0.686873912304708,1,0.533722255579137,4,0.4364236391251,0.0972986164540372
"NH558fu",4,0.755526021696997,8,0.624499021623302,4,0.518228564134533,0.106270457488768
"NI682pa",5,0.672617379167126,5,0.528784253055061,4,0.513552687312979,0.0152315657420823
"NS006zv",4,0.665727549258276,2,0.508263229651942,1,0.477807657412471,0.0304555722394703
"NU471vz",2,0.827960024050839,4,0.520022424900751,1,0.469560933322,0.0504614915787505
"OC829jn",5,0.656202403904642,6,0.497028602572403,9,0.493772606571698,0.0032559960007052
"OG485nh",4,0.659923756969787,9,0.454306833452664,3,0.453669161217798,0.000637672234865827
"PG316zo",5,0.675603470518394,3,0.473344471601046,1,0.460247368589457,0.0130971030115892
"PG330pq",6,0.622941261927709,8,0.493339810273578,9,0.491136037030965,0.00220377324261334
"PJ014nl",5,0.660286012627366,4,0.555824239868624,7,0.480596604156433,0.0752276357121907
"PJ136ll",4,0.678429110734779,9,0.522885788276277,1,0.498266219270939,0.0246195690053381
"PM697ft",5,0.685519154633185,3,0.528782880696261,9,0.524219211443169,0.00456366925309193
"PN091zs",5,0.649628923689985,7,0.508127951312672,9,0.474923273202856,0.0332046781098156
"PT564kb",5,0.634281294707257,7,0.507576654371514,9,0.441427602542817,0.0661490518286971
"PX628uy",2,0.815728942671088,3,0.606204420293986,6,0.559599834273916,0.0466045860200702
"QD203mo",5,0.672748503000885,2,0.4939969092149,4,0.484715907275106,0.00928100193979398
"QH644ue",3,0.748473086192875,7,0.566037815426457,3,0.498244519602186,0.0677932958242704
"QK970xr",10,0.589231633332636,1,0.492435797366536,4,0.464629908548903,0.0278058888176322
"QY410ow",5,0.677868173522039,6,0.563537043470582,4,0.507468275009629,0.0560687684609525
"RB280al",3,0.74200020093105,9,0.521845267773097,7,0.437184920099812,0.0846603476732855
"RF010xy",4,0.668979837328581,4,0.47703241924307,6,0.476511994751967,0.000520424491103844
"RG025wa",8,0.595905024221271,7,0.473078807577317,9,0.45617578230543,0.0169030252718863
"RK008in",2,0.768101553770306,7,0.547962468102451,3,0.45852453742829,0.0894379306741607
"RN111vv",5,0.650321997721929,4,0.491968523405023,2,0.46316488804942,0.0288036353556039
"RQ906bx",2,0.812343025663517,7,0.564544779135777,9,0.407800963549056,0.156743815586721
"RV165fl",5,0.674666805068676,6,0.512434884553083,4,0.501583635600312,0.0108512489527718
"RV570ep",5,0.664191279743691,4,0.475440617747558,1,0.443423531907056,0.0320170858405023
"SB204bg",2,0.77646591515042,2,0.559414761217819,1,0.415177661478069,0.144237099739751
"SJ620bp",5,0.658869219813212,9,0.492642463805342,4,0.479516227408925,0.013126236396417
"SQ964dp",4,0.693789183362745,5,0.535765775033196,9,0.503654365972391,0.0321114090608048
"SR919qq",5,0.647439247562481,1,0.519211398251487,3,0.414213053635164,0.104998344616323
"SW020es",4,0.697239064311633,9,0.519842015249932,8,0.513012192912972,0.00682982233696028
"SW974qp",6,0.66695605769449,4,0.518380545821466,6,0.496643081101442,0.0217374647200246
"TA105la",5,0.653657288845542,5,0.494954907718632,4,0.451555515782932,0.0433993919356999
"TA375id",3,0.841147067593776,8,0.5753932691651,1,0.416074907725197,0.159318361439903
"TE096nn",5,0.674921780133672,5,0.496049841270506,1,0.485603504424898,0.0104463368456082
