"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","vote_t2","vote_sweep_t2","vote_sweep_all_t2","vote_other_t2","vote_inc_all_t2","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","party_id","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"TG553iq","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",83,1,1,0,0,"Zohran Mamdani",1,1,0,0,5,1,1.5,6.5,1,6,2,7,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,31,NA,"White","4yearColl","$0-$20,000",1,4,1,NA,0,1,0,"n/a"
"TG698zt","New Jersey","Ocean","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",30,0,0,0,1,"Mikie Sherill",0,0,0,1,7,4,6.5,2.5,6,2,7,3,"Yes","Mikie Sherill",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,33,"woman","White","PHD","Over $200,000",11,6,1,0,0,0,1,NA
"TG767sv","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",40,0,0,0,1,NA,NA,NA,NA,NA,7,1,7,2,7,1,7,3,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,30,"woman","Hispanic, Latino, or Spanish origin","4yearColl","$40,001-$60,000",3,4,0,0,0,1,0,NA
"TI181rx","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",20,NA,0,1,0,NA,NA,NA,NA,NA,4,4,5.5,2.5,6,2,5,3,"Not sure",NA,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican","Rep",1,45,"woman","White","PHD","Over $200,000",11,6,1,0,0,0,1,NA
"TL004op","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",39,NA,0,1,0,NA,NA,0,1,0,4,4,4,4,4,4,4,4,"Not sure",NA,4,"Independent",NA,NA,"Neither","Independent | Neither","Ind",1,66,"woman","Asian","4yearColl","$40,001-$60,000",3,4,0,0,0,0,1,NA
"TL796bo","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",61,1,1,0,0,"Zohran Mamdani",1,1,0,0,5,2,1.5,5.5,1,5,2,6,"Yes","Zohran Mamdani",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,34,"man","Hispanic, Latino, or Spanish origin","GED","$0-$20,000",1,2,0,1,0,1,0,NA
"TN451lv","New Jersey","Monmouth","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",75,1,1,0,0,"Jack Ciattarelli",1,1,0,0,1,1,5.5,2.5,7,1,4,4,"Yes","Jack Ciattarelli",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong","Rep",1,33,"man","White","2yearColl","$40,001-$60,000",3,3,1,1,1,0,0,NA
"TN954ai","New Jersey","Hudson","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",0,NA,0,1,0,NA,NA,0,1,0,6,4,2.5,4,3,5,2,3,"No",NA,4,"Independent",NA,NA,"Neither","Independent | Neither","Ind",1,30,"woman","multiracial","2yearColl","$0-$20,000",1,3,0,0,0,0,1,NA
"TP817vk","New Jersey","Mercer","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",90,NA,0,1,0,NA,NA,NA,NA,NA,5,3,5.5,3,5,2,6,4,"Not sure",NA,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican","Rep",1,52,"man","Black or African American","4yearColl","$60,001-$80,000",4,4,0,1,0,0,1,"Just my ID - CFD8B9CEF458441AA2C895A6EBB20C1C"
"TP854ds","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",73,0,0,0,1,"Mikie Sherill",0,0,0,1,4,2,6,2.5,6,3,6,2,"Yes","Mikie Sherill",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,27,"woman","Black or African American","4yearColl","$60,001-$80,000",4,4,0,0,0,0,1,NA
"TQ280bm","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",41,1,1,0,0,"Zohran Mamdani",1,1,0,0,6,4,1.5,4.5,1,3,2,6,"Not sure","Zohran Mamdani",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,48,"woman","White","GED","$80,001-$100,000",5,2,1,0,0,0,1,"Thank you"
"TR222vi","New Jersey","Sussex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",19,1,1,0,0,NA,NA,NA,NA,NA,4,4,5,2.5,5,2,5,3,"No","Jack Ciattarelli",5,"Republican",NA,"Strong",NA,"Republican | Strong","Rep",1,34,"woman","White","4yearColl","$140,001-$160,000",8,4,1,0,1,0,0,NA
"TR853gz","New Jersey","Ocean","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",42,1,1,0,0,"Jack Ciattarelli",1,1,0,0,5,2,4.5,4.5,6,3,3,6,"Yes","Jack Ciattarelli",4,"Republican",NA,"Strong",NA,"Republican | Strong","Rep",1,50,"woman","White","MA","$100,001-$120,000",6,5,1,0,1,0,0,NA
"TT727as","New Jersey","Middlesex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",30,1,1,0,0,NA,NA,NA,NA,NA,5,3,5.5,1,5,1,6,1,"Yes","Jack Ciattarelli",6,"Republican",NA,"Strong",NA,"Republican | Strong","Rep",1,42,"woman","White","MA","$140,001-$160,000",8,5,1,0,1,0,0,NA
"TW617be","New Jersey","Essex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",75,0,0,0,1,"Mikie Sherill",0,0,0,1,7,2,5,3.5,7,3,3,4,"Yes","Mikie Sherill",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,33,NA,"multiracial","GED","$0-$20,000",1,2,0,NA,0,0,1,NA
