"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"HV502de","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",51,NA,0,1,0,1,2,2.5,5.5,1,7,4,4,"Yes",NA,4,"Independent",NA,NA,"Neither","Independent | Neither",1,25,"woman","Hispanic, Latino, or Spanish origin","4yearColl","$60,001-$80,000",4,4,0,0,0,0,1,"n/a"
"UT616ko","New Jersey","Sussex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",77,0,0,0,1,7,5,7,2.5,7,3,7,2,"Yes","Mikie Sherill",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,45,"woman","multiracial","GED","$0-$20,000",1,2,0,0,0,0,1,NA
"IH122kq","New Jersey","Camden","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",85,0,0,0,1,1,1,6,4,7,5,5,3,"Yes","Mikie Sherill",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,30,"man","Black or African American","GED","$40,001-$60,000",3,2,0,1,0,1,0,NA
"QU731ql","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",60,1,1,0,0,5,2,1,7,1,7,1,7,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,39,"woman","White","MA","$60,001-$80,000",4,5,1,0,0,1,0,NA
"AF672cu","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",45,0,0,0,1,6,4,7,2,7,2,7,2,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,46,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,1,0,NA
"XR873yk","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",25,1,1,0,0,6,1,1.5,4.5,1,4,2,5,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,30,"woman","White","MA","$100,001-$120,000",6,5,1,0,0,1,0,NA
"XH290ap","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",35,1,1,0,0,1,5,4,1.5,3,1,5,2,"Yes","Katie Wilson",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,29,"woman","White","MA","$120,001-$140,000",7,5,1,0,0,1,0,NA
"QJ315af","New Jersey","Morris","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",40,0,0,0,1,5,3,5,2.5,5,3,5,2,"Yes","Mikie Sherill",4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,54,"woman","White","4yearColl","$180,001-$200,000",10,4,1,0,0,1,0,"Good survey. If a progress bar could be added, it would be better."
"RY368bi","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",68,1,1,0,0,7,2,1.5,6,2,7,1,5,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,40,"man","Hispanic, Latino, or Spanish origin","GED","$100,001-$120,000",6,2,0,1,0,1,0,NA
"FC899ru","New Jersey","Ocean","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",31,1,1,0,0,6,3,7,4.5,7,2,7,7,"Yes","Jack Ciattarelli",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,21,"man","multiracial","GED","$60,001-$80,000",4,2,0,1,1,0,0,NA
