"PID","lebe_cont","cond","cond_bin","choice","choice_sweep","party_forgroup","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","att_2","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"NW016yx",85,"inparty",1,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,57,"woman","White","GED","$20,001-$40,000",2,2,1,0,1,0,0,"none"
"JR491re",79,"outparty",0,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,39,"woman","multiracial","2yearColl","$60,001-$80,000",4,3,0,0,0,1,0,NA
"MS882pp",85,"outparty",0,"CANDIDATE A",0,"Democratic",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,45,"man","White","2yearColl","$0-$20,000",1,3,1,1,0,0,1,"Thanks for letting me participate."
"VU929vs",40,"outparty",0,"CANDIDATE A",0,"Republican",7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,46,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,1,0,0,"I wouldn't vote for either. I'm a Republican."
"BW291ua",20,"inparty",1,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,43,"man","White","GED","$80,001-$100,000",5,2,1,1,1,0,0,"n/a"
"MJ793bj",38,"inparty",1,"CANDIDATE A",0,"Democratic",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,36,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,0,1,0,NA
"MP802au",30,"outparty",0,"CANDIDATE B",1,"Democratic",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,35,"man","multiracial","GED","$40,001-$60,000",3,2,0,1,0,1,0,NA
"DR801pd",28,"inparty",1,"CANDIDATE A",0,"Democratic",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,33,"man","White","4yearColl","$40,001-$60,000",3,4,1,1,0,0,1,"Thanks for the opportunity"
"FJ456tj",43,"inparty",1,"CANDIDATE A",0,"Democratic",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,42,"man","Asian","4yearColl","$60,001-$80,000",4,4,0,1,0,1,0,NA
"DF200yi",40,"inparty",1,"CANDIDATE B",1,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,26,"man","White","2yearColl","$60,001-$80,000",4,3,1,1,0,1,0,"I enjoyed the study and didn't experience any issues with it."
"LE302dt",39,"outparty",0,"CANDIDATE A",0,"Republican",7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,40,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,1,0,0,NA
"NO871cc",0,"outparty",0,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,57,"man","White","4yearColl","$180,001-$200,000",10,4,1,1,1,0,0,NA
"DT972eh",80,"inparty",1,"CANDIDATE B",1,"Republican",7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,32,"man","White","GED","$40,001-$60,000",3,2,1,1,1,0,0,NA
"PH536bp",0,"outparty",0,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,39,"man","White","4yearColl","$80,001-$100,000",5,4,1,1,1,0,0,NA
"CN718kc",67,"inparty",1,"CANDIDATE B",1,"Democratic",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,32,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,1,0,NA
"SR521jh",40,"inparty",1,"CANDIDATE A",0,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,35,"man","White","4yearColl","$160,001-$180,000",9,4,1,1,1,0,0,"no comments thank you"
"ZK401lr",10,"outparty",0,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,67,"woman","White","4yearColl","$120,001-$140,000",7,4,1,0,0,1,0,NA
"FR541ng",25,"outparty",0,"CANDIDATE A",0,"Republican",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,54,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,1,0,0,NA
"TZ585mz",0,"outparty",0,"CANDIDATE A",0,"Republican",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,42,"man","White","4yearColl","$140,001-$160,000",8,4,1,1,1,0,0,"Nothing to add here"
"BD643wm",0,"inparty",1,"CANDIDATE B",1,"Republican",7,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,53,"man","White","MA","Over $200,000",11,5,1,1,1,0,0,NA
"EW248rz",0,"inparty",1,"CANDIDATE A",0,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,24,"woman","multiracial","4yearColl","$120,001-$140,000",7,4,0,0,1,0,0,"none"
"CV789cp",56,"inparty",1,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,29,"man","White","4yearColl","$0-$20,000",1,4,1,1,1,0,0,NA
"XP500cp",32,"outparty",0,"CANDIDATE B",1,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,30,"woman","multiracial","MA","$80,001-$100,000",5,5,0,0,0,1,0,NA
"HW183ew",4,"outparty",0,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,57,"man","White","MA","$160,001-$180,000",9,5,1,1,1,0,0,"Merry Christmas!"
"VT533kc",42,"inparty",1,"CANDIDATE B",1,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,46,"woman","White","2yearColl","$80,001-$100,000",5,3,1,0,0,1,0,NA
