"id","n_reasons","mrl","assigned_cluster","avg_cosine_to_assigned","second_best_cluster","second_best_avg_cosine","margin"
"BE539qw",5,0.656871892138274,1,0.528788381537745,5,0.519381673010599,0.00940670852714665
"BE829ny",3,0.766632546827243,2,0.551037438833664,1,0.421228048051449,0.129809390782215
"BF150ox",1,0.999999999999998,10,0.741959993022013,4,0.619301896843185,0.122658096178828
"BG089bn",4,0.694781721521792,9,0.539381209081605,4,0.51032971762045,0.0290514914611553
"BG178gw",5,0.654176721004427,7,0.534608326008306,5,0.491678339209068,0.0429299867992382
"BG349hb",2,0.893876742553971,3,0.679626524567644,7,0.571963552191649,0.107662972375994
"BH296yr",3,0.741879317922204,2,0.587167357851685,6,0.53594295372578,0.0512244041259052
"BH576qo",5,0.642238801837264,4,0.478162898477182,9,0.462813256403902,0.0153496420732797
"BL279yh",2,0.808209538068435,7,0.638781669870878,5,0.418844071525303,0.219937598345575
"BP436pl",2,0.791571090521484,6,0.544408913865161,2,0.479511899783518,0.0648970140816422
"BR286du",3,0.778818783933339,2,0.479452923230177,8,0.370888625716383,0.108564297513794
"BR855np",4,0.667689646993695,6,0.502036707183291,2,0.44351827278938,0.0585184343939112
"BS168eh",5,0.655963051745442,8,0.522998026663324,7,0.490903698388557,0.0320943282747665
"BU119qe",5,0.647994047222711,4,0.486837726100414,7,0.471116848414884,0.0157208776855295
"BW018aw",3,0.747324931712681,9,0.553688796380628,4,0.435540707704164,0.118148088676464
"BW867og",4,0.69749931123731,2,0.473810285628108,8,0.375221041307676,0.0985892443204319
"BX704ao",4,0.706712130878144,3,0.478161292278665,2,0.467857792469242,0.0103034998094228
"BX781le",4,0.68269786772689,6,0.559048263873332,10,0.499540481003888,0.0595077828694436
"CC844xw",3,0.722692587446007,3,0.529836831842889,5,0.482197404362776,0.047639427480113
"CD476fe",5,0.680703351517877,7,0.536511625795105,8,0.513279496122278,0.0232321296728277
"CE208al",4,0.677356121724179,2,0.509356597627857,7,0.501318828446893,0.00803776918096377
"CE819nh",4,0.71149859223967,5,0.490882071651288,2,0.479648491993567,0.011233579657721
"CG351mr",6,0.625527070137559,5,0.489177111427583,7,0.482402920371791,0.00677419105579208
"CG393bx",4,0.656668454064884,1,0.459349152375271,2,0.437137037517696,0.0222121148575752
"CG561mp",4,0.743569223350985,8,0.57249346599144,7,0.510528586410176,0.0619648795812645
"CH574yv",3,0.723791731869168,2,0.490836480546005,9,0.469298678353308,0.0215378021926968
"CI580fm",5,0.639734685127658,3,0.468273185916377,7,0.462600868472639,0.00567231744373758
"CM540ie",1,1,7,0.573457981947523,1,0.484813878672,0.0886441032755229
"CN208iy",5,0.668388711663568,5,0.539169793616055,8,0.52877429674758,0.0103954968684749
"CN509wz",3,0.721930721684466,8,0.566634281135666,5,0.479207905330076,0.0874263758055904
"CO512sf",3,0.709913753597243,3,0.508599597341941,2,0.508174819642522,0.000424777699419288
"CQ614mh",3,0.781969067061341,7,0.460675201390368,5,0.455889916515588,0.00478528487478036
"CR333ku",1,0.999999999999998,7,0.486097612787219,3,0.323799979110255,0.162297633676964
"CS553ax",3,0.701900290322175,5,0.513454392378006,2,0.492111350662424,0.0213430417155823
"CT052io",3,0.764524961476629,7,0.569996174443874,2,0.42104238857924,0.148953785864633
"CT263pk",3,0.68554802733768,6,0.418768349763075,8,0.397619327352243,0.0211490224108325
"CT955tc",3,0.750773892946793,7,0.592748443028912,3,0.513475762484197,0.0792726805447155
"CU041lk",5,0.693956677911571,7,0.523979762945016,5,0.417685769709912,0.106293993235103
"CV764gr",5,0.671431810996413,7,0.487830481680379,3,0.474214776477244,0.0136157052031348
"CV908rf",5,0.652682251546465,8,0.494143980195644,2,0.440582549540099,0.0535614306555449
"CY180xv",3,0.740751811843676,1,0.588222193016754,2,0.459940634173675,0.128281558843079
"DD306ls",4,0.700523112061678,7,0.533620896851782,1,0.511904737198795,0.0217161596529871
"DE177qe",3,0.741217542562985,9,0.47969558079247,8,0.447563062690219,0.0321325181022512
"DF982hh",5,0.672825388614115,7,0.581091520687196,3,0.489381465776728,0.0917100549104684
"DG560np",1,1,2,0.520518227732383,3,0.425247400776292,0.0952708269560908
"DH779aw",3,0.76129934548922,8,0.551983184543586,5,0.541854494134248,0.0101286904093376
"DI577ok",5,0.684294632703028,7,0.50454707445331,8,0.498336035290978,0.00621103916233129
